location_name,accomodation_name,accomodation_id,accomodation_address,description,detailed_description,image,latitude,longitude,rating,review,accomodation_type
London,Novotel,fba305ff-071b-4051-ae88-5f3336bdcade,Junction 4/M4 Cherry Ln,,,,51.497398,-0.455924,,,accommodation
London,Premier Inn,078d4682-60e2-41bb-9642-0b2d1e57715d,Excel East,,,,51.50844864,0.038666725,,,accommodation
London,Park Inn Hotel and Conference Center,38c6ce73-7964-4a38-872e-cb51f53fe72e,Bath Rd,,,,51.48263902,-0.451083183,,,accommodation
London,Double Tree Hotel,82bd5117-2382-4828-8373-63181abf07a0,,,,,51.58293718,-0.214517203,,,accommodation
London,Custom House Hotel,707c61b8-5ebc-4a1c-ba7c-16e451c36fed,272-283 Victoria Dock Rd.,,,,51.51007955,0.026816299,,,accommodation
London,Courthouse DoubleTree by Hilton Hotel London - Regent Street,1d184cb5-c914-4937-ae5f-28ff955b9b79,19-21 Great Marlborough St,,,,51.51417282,-0.140231439,,,accommodation
London,Norwood Top Lock,852db228-8797-49be-b8f3-c8aefb950dd0,163 Poplar Ave.,,,,51.50190004,-0.363139848,,,accommodation
London,The Victory,3d92ec03-7677-465c-8ef3-47112ae567bc,Vyner street,,,,51.53453196,-0.055751837,,,accommodation
London,Days Inn,e9789255-b6d7-415c-b411-49cd22a74ced,,,,,51.46946116,-0.366886221,,,accommodation
London,Acton's Lock  Regent's Canal,d230f497-18fc-434a-b2e1-387ee9a4fd30,Andrew's Road,,,,51.53573857,-0.063729286,,,accommodation
London,Marriott,0d98a6d7-11b4-41a5-8467-c494a2a039da,Grosvenor Sq.,,,,51.5126499,-0.150965502,,,accommodation
London,No.8 Willesden,c1da5c20-ea69-4a7d-ba3c-14fdcaca064a,305 High Rd.,,,,51.54852863,-0.238659845,,,accommodation
London,So Apartments,d10ad5c2-ac53-49d7-9c10-95294c563988,Killburn road,,,,51.53731048,-0.191871252,,,accommodation
London,Norfolk House Hotel,7617cc8f-d19e-4a96-82cd-a943be8972fe,587 London Road,,,,51.390078,-0.112363,,,accommodation
London,Shoreditch House Roof Pool,fc543e9f-6c1e-4d20-aff0-bd83b4bec3b1,Ebor St.,,,,51.523831,-0.076011,,,accommodation
London,Marlin Apartments,ec3d7ebe-4a64-46fc-bc5a-0b528dfc19c9,58 Commercial Road,,,,51.51480621,-0.067629747,,,accommodation
London,Pousada Caminho das Pedras,95e9ffa9-c58f-4512-b77f-db9bc4312421,Rua A  410,,,,51.54220954,-0.317527028,,,accommodation
London,Salvatorian College,5c867c26-ea7a-4187-aade-1cab260bf810,,,,,51.60011108,-0.337767984,,,accommodation
London,Malaysia Hall,9d0ad0a5-ea85-4dde-ac3b-09840c0a25df,30-34 Queensborough Tce.,,,,51.512047,-0.185389,,,accommodation
London,St George's Centre,2e09034d-c219-4b22-8e5d-af412c71b061,St Ann's Rd,,,,51.58120323,-0.337657928,,,accommodation
London,RAF Northolt (NHT),7d68a8a5-ab61-4f27-a7e9-3334d8f14b87,West End Rd,,,,51.55684901,-0.407266617,,,accommodation
London,pay and sleep,3e28bcd5-261a-434e-ba76-3e3fce97b74b,,,,,51.507849,-0.374685,,,accommodation
London,Travelodge,2826c3eb-9cca-408f-b99c-badbac5258b9,North Rd.,,,,51.48723559,-0.296115875,,,accommodation
London,Travelodge,3180fe02-b24d-476c-9120-966b76c3fe83,Tolworth Tower,,,,51.38047956,-0.281066523,,,accommodation
London,Novotel,cebcdc2d-cef6-46cd-b243-65909e0bdb89,53-61 Southwark Bridge Road,,,,51.50545196,-0.095264018,,,accommodation
London,Travelodge,2c5a73cd-d488-4ad7-8181-59b675054ca9,Hartmann Rd.,,,,51.50418319,0.040888267,,,accommodation
London,Brent X Hotel London,15a578f3-d341-4afe-a371-c164167560c7,165 Preston Hill,,,,51.57743778,-0.290451214,,,accommodation
London,Premier Inn,3c8c426e-14eb-48e0-b79f-279577d0641a,159 Tower Bridge Rd.,,,,51.49973938,-0.079024181,,,accommodation
London,Woodlands Road,b1eb0bf4-0800-4243-a392-3e94136805e9,,,,,51.5939012,-0.00588199,,,accommodation
London,Crowne Plaza,ae0e9726-f1be-447c-864e-c52547ee632c,45-81 Buckingham Gate,,,,51.49835585,-0.137418398,,,accommodation
London,Tune Hotels,5f312013-2ccf-4084-994a-567309f4bb4b,118 Westminster Bridge Rd.,,,,51.49917917,-0.112652779,,,accommodation
London,Shalimar Hotel London,a8363cf5-d6ed-4538-b2f1-7ba6826d6bc2,Staines Road 215-223,,,,51.464778,-0.377781,,,accommodation
London,Popes Grotto Hotel London,9cfe23b3-2b03-4298-a8d5-7b20408af6b6,Cross Deep Richmond Greater London TW1 4 UK,,,,51.44119558,-0.332689881,,,accommodation
London,Euro Hotel Hammersmith London,c132e834-b1bd-4bf5-bb33-b3c0b94482b1,31 Shepherds Bush Road  Hammersmith,,,,51.50128674,-0.222067603,,,accommodation
London,Forte Posthouse Hotel London,1938cffd-8aab-4d70-957c-524da9c0774a,Bath Rd Greater London UK,,,,51.47530072,-0.393097575,,,accommodation
London,Holiday Inn,3774bdc7-2428-4eb3-86bf-68d13e172cee,57-59 Welbeck St,,,,51.51691695,-0.149499302,,,accommodation
London,Westfield Suite Hotel,6eeb7a85-e49e-442e-9f0d-6a0c9dde40d2,128 Holland Rd.,,,,51.38760426,-0.075812858,,,accommodation
London,The Charlton,18ed25c7-9714-4291-a4ba-4dba7551e943,,,,,51.388944,-0.265218,,,accommodation
London,Doubletree,85c925de-600a-4918-acb8-80122f792139,Pardo,,,,51.49784114,-0.070871996,,,accommodation
London,Kadimah Hotel Stamford Hill,fe344a94-81b5-4558-ae93-9f7171a654ff,146 Clapton Common,,,,51.57297916,-0.070517971,,,accommodation
London,Onesixtwo Guest House London,1aac682c-d9c3-4314-8154-c95d1b16668b,162 Westcombe Hill,,,,51.47821359,0.01912869,,,accommodation
London,Quality Scotch Corner Hotel,8f7f5f9b-4bd2-4b43-bb11-c467628605a7,Junction Rd.,,,,51.4952229,-0.3086922,,,accommodation
London,Thistle London Heathrow Hotel West Drayton,1e6c25f7-50ca-4ab8-b095-bf0bcaa10946,Bath Rd UK,,,,51.48135999,-0.458095,,,accommodation
London,Aerodrome Hotel,108a2b45-25d5-436d-b5ae-07f75173378e,Purley Way,,,,51.35795923,-0.117051033,,,accommodation
London,Holiday Inn,f7a0e826-fdaa-4217-a491-bcb7f066acf1,118 BATH ROAD,,,,51.48104882,-0.43364346,,,accommodation
London,Comfort Inn,8502bfac-24d4-4625-b53f-596f14b26934,Shepiston Ln.,,,,51.496293,-0.446192,,,accommodation
London,VII Hotel Cranford (England),4a46fa7e-1532-41bc-aad0-b09c57fe4732,Bath Rd Hounslow Greater London TW5 9 UK,,,,51.47978781,-0.412193486,,,accommodation
London,Lensbury Hotel Teddington,0e6ded9d-a362-45d6-a0ff-34f67425c2b1,Broom Rd Richmond Greater London TW11 9 UK,,,,51.42778545,-0.318984385,,,accommodation
London,Popes Grotto Hotel Twickenham,86675ae8-15b9-47cb-9b50-28ac07029a19,Cross Deep Richmond Greater London TW1 4 UK,,,,51.43217132,-0.336349232,,,accommodation
London,Tlodge Heathrow Heston West Hotel Hounslow,50c96ab9-5b36-4cc5-b710-b818c07474a6,M4 Motorway Westbound J2/3 PHOENIX WAY,,,,51.4870772,-0.3953279,,,accommodation
London,Travelodge,c194324e-c814-40ad-9419-beaef63f14e8,St Edwards Way  Market Place,,,,51.58010984,0.180630684,,,accommodation
London,Plaza  Hotel,d53f2f10-4815-443a-b48f-baa61b7b5882,Albert Embankment,,,,51.4914671,-0.121471807,,,accommodation
London,Heathrow Inn,97b0257a-ce26-4622-8067-122e3e8e6a15,140 Coldharbour Ln,,,,51.46772369,-0.099134445,,,accommodation
London,Travelodge,9bb15d15-3e6c-420b-a994-1af9b1ff719f,Clements Rd.,,,,51.55726258,0.073235035,,,accommodation
London,Antigallican Hotel Charlton London,884abbaa-23a5-4d1b-9a7d-4cf1bbe82b7e,428 Woolwich Road Charlton,,,,51.487805,0.031324,,,accommodation
London,Marlin Apartments,f2fd9dd8-9bb0-4532-acd2-688cf4bfb8cc,11 Byng Street,,,,51.50060007,-0.025163497,,,accommodation
London,Days Hotel Hounslow London,0b74caeb-bfba-443a-a561-3effd2eecae3,8-10 Lampton Road,,,,51.47806672,-0.363850441,,,accommodation
London,Ability Towers,51fe5fbb-b183-4a84-a180-1ae7e7de976d,,,,,51.52923718,-0.096817828,,,accommodation
London,The Thatched House Hotel Sutton London,4c04188e-8037-43f9-b667-1b3154a6677d,Cheam road,,,,51.35976584,-0.207299716,,,accommodation
London,Accommodation London,e1e5882c-88b1-4ac5-bc50-11bba3bf9322,29-49 Chatsworth Rd,,,,51.5467093,-0.208764567,,,accommodation
London,Long Stay Parking Heathrow,0ff45462-8ff0-4217-a825-0b3c6b0662b6,,,,,51.47845265,-0.421864057,,,accommodation
London,Etap Hotel London,53d957e4-a62a-40fa-91f5-7fdc77adfa77,North Woolwich Road,,,,51.50294269,0.036158939,,,accommodation
London,Osner Hotel East London,23f05ac6-b023-4c13-8dbd-0dc770510f2e,Esplanade  P.O. Box 334,,,,51.56241284,-0.310758061,,,accommodation
London,Travelodge,9df0b61a-77b8-4be4-b43b-a9cac88f5fd9,A40 Western Ave.,,,,51.526784,-0.278707,,,accommodation
London,Selhurst Traincare Depot,d9d45c89-18e9-4ac2-9553-6204f2f2362f,,,,,51.39181195,-0.086013079,,,accommodation
London,Holiday Inn,a6121cd3-f613-41b8-ab5b-4b31bebf13ef,COMMERCE ROAD,,,,51.48263902,-0.31247735,,,accommodation
London,Travelodge,a7c9019a-af3d-4a40-99b0-b8f04c8ce68d,International House,,,,51.41055662,-0.30105114,,,accommodation
London,26 Dawson Place B&B,4a083915-8430-445c-b943-f8e4d705d3e1,26 Dawson Pl,,,,51.512234,-0.197619,,,accommodation
London,Travelodge,e8f9bf81-69d1-4c82-894a-b7c1842a0f40,202 Union St.,,,,51.50388092,-0.103082657,,,accommodation
London,Four Seasons Hotel,9af58b1a-ab6b-4fe3-8422-3f71f999626d,Hamilton Place,,,,51.50428162,-0.149774551,,,accommodation
London,Ibis Hotel,5247dcac-2bbb-4174-ace8-02a34a2aa71f,1A Romford Rd.,,,,51.54387966,0.004806519,,,accommodation
London,Klondyke House (Metropolitan Line Train Crew),d2441424-4fce-4dd8-820b-fa72b70936a7,Neasden Lane,,,,51.55482112,-0.251483917,,,accommodation
London,Holiday Inn Express,7b8f2e66-086f-4f66-820d-4f252ef9d8f6,5 Walthamstow Avenue,,,,51.61722266,-0.05166831,,,accommodation
London,Costa del Catford,d41019cd-5e10-4424-88e4-69c23665e545,,,,,51.43868667,-0.012306806,,,accommodation
London,Allparts,d0d54127-14e4-4e86-8c2d-c2822f437214,Unit 1  Caxton Estate  Printing House Lane,,,,51.507669,-0.424887,,,accommodation
London,Bowden,5f571f54-0ce2-4e40-8253-4eb88c3401ae,24 Ladbroke Road,,,,51.509584,-0.200975,,,accommodation
London,Nell Gwynn House Apartments,0256ae4a-1180-4a31-9154-ed1bc1c2f3e4,Sloan Avenue,,,,51.49215568,-0.165106058,,,accommodation
London,Ebury Bridge,bd8ea255-caef-4e59-9256-ecb7da55340c,Ebury Br.,,,,51.48918111,-0.150235048,,,accommodation
London,Thrifty Car Rental,ec38497f-0e86-4b45-943b-44c6f097cda6,131-179 Belsize Road,,,,51.53950843,-0.187974264,,,accommodation
London,Hotel Indigo,637a72c9-d49f-4346-ab17-d4cb66e4b7ad,142 Minories,,,,51.51273226,-0.075786537,,,accommodation
London,Ibis Hotel,d68455ce-f46f-4634-b979-95b691ae026a,112-114 Bath Rd.,,,,51.48120254,-0.430753314,,,accommodation
London,Chelsea Embankment,c1ed1642-f2ad-4e01-bcf0-a188d667ad3a,Chelsea Embankment,,,,51.4843227,-0.159044266,,,accommodation
