location,name,landmark_id,landmark_address,description,detailed_description,image,latitude,longitude,rating,review,landmark_type
Amsterdam,M1,96eaa3b2-707a-431b-9416-66ca6943d0c9,,,,,52.40318451,4.759457302,,,Dive Bar
Amsterdam,United Stevedores Amsterdam,0b7dd5ee-d45d-4e54-9f17-f03f74dae768,,,,,52.41980891,4.76855785,,,Harbor / Marina
Amsterdam,Amerikahaven,e08a6047-f111-4a39-b074-385dbdbf4a16,,,,,52.4254557,4.771093693,,,Harbor / Marina
Amsterdam,Tuss'n de Koei'n,5cbf3a97-a329-4177-a0df-42b88f7d3ce1,,,,,52.413517,4.768342,,,Farm
Amsterdam,Heining 21,02de3835-4481-4512-8ca7-aa29eaceb41e,,,,,52.396119,4.767001,,,Strip Club
Amsterdam,Kompleks,e7844296-bef2-4721-93ea-95ac3fdfecbb,,,,,52.396326,4.766315,,,Nightclub
Amsterdam,Kompleks,67bbef29-5c16-4041-839f-97323ea0872f,,,,,52.396281,4.768845,,,Nightclub
Amsterdam,Martin Gaus Hondenschool,72a2f31f-7352-4cd0-b821-1bfdea8e4e25,,,,,52.3975763,4.770681174,,,Dog Run
Amsterdam,Geuzenbos,6e7bfb2b-2578-47d2-818d-65696eec3922,,,,,52.393096,4.769814,,,Trail
Amsterdam,Haarlemmerweg,ec1d812b-a61e-4b30-86ff-8e48b947ebad,,,,,52.38400233,4.769806435,,,Field
Amsterdam,Hondenschool Martin Gaus,e073304c-ecd3-43c0-be73-788f37d3b010,,,,,52.38851441,4.769033515,,,Dog Run
Amsterdam,Aristos Hal Amsterdam,15759eb8-2fe4-4811-af14-9e18a2fce9df,,,,,52.38387264,4.762370066,,,Soccer Field
Amsterdam,De Grote Braak,b6dc1cc0-6d1b-48a1-ad79-021c621bbb9a,,,,,52.38801239,4.774148931,,,Campground
Amsterdam,Uitzichtpunt picknicktafel lange bretten,8167b02a-6a70-4976-a249-8a7bd248626d,,,,,52.38558597,4.778170842,,,Scenic Lookout
Amsterdam,Alex's Hill,fc95707c-1fba-421d-acee-a020387a4dc6,,,,,52.3851608,4.77725029,,,Scenic Lookout
Amsterdam,De Kwekerij,c90ebc6c-8bd6-4f5d-b5e9-52bcc447cdc6,,,,,52.37890753,4.761494134,,,Farm
Amsterdam,Huisje Tuinpark Osdorp,f0f12f63-9469-46e7-b4e9-4bea0dc1c34a,,,,,52.377646,4.774752,,,Garden
Amsterdam,Kooter hooveniers,9a77b8ca-bcda-422a-ac68-f33eded45072,,,,,52.3750836,4.7703173,,,Farm
Amsterdam,Tuinpark Osdorp,64d6e853-d4b3-4907-b6b5-e2f1570c83bb,,,,,52.377583,4.775198,,,Garden
Amsterdam,our tuinhuisje,3fff9bbc-547d-4897-b0d4-4b9ef9abf9a2,,,,,52.37592316,4.775551796,,,Garden
Amsterdam,Volkstuin de Eendracht,9fc53c2f-ce65-4414-8ae3-344952c32db5,,,,,52.37349616,4.779276762,,,Park
Amsterdam,De Boterbloem,f40972d2-33a7-478c-8daa-1bc571dcfb34,,,,,52.36029,4.766698,,,Farm
Amsterdam,Konijnenopvang Amsterdam,71f79c25-2a45-4cdf-af21-5feb9dfba97d,,,,,52.37020701,4.777861931,,,Stables
Amsterdam,Pocahondas,80cb7932-5d34-4f90-a560-d70c48425b3f,,,,,52.3580273,4.765764128,,,Farm
Amsterdam,Playreal,20f7c563-9cde-4108-a869-1c633dccbd65,,,,,52.37014,4.777237,,,Arts & Entertainment
