location_name,name,restaurant_id,restaurant_address,description,detailed_description,image,lat,lng,rating,reviews,restaurant_type
London,Brunchies Cafe,aa654d60-756c-42b7-b42e-c471f483af5f,112 westmead road  Sutton  Sm1 4jd  United Kingdom,,,,51.36624562,-0.179428714,,,
London,Flamin Grill Pub Co @ The Five Bells,a445f269-07b6-43e2-9660-7f6d02312298,,,,,51.59072061,-0.172356828,,,
London,Gaucho Grill Hampstead,cf5ebffa-99c8-4140-b5fb-c9fdbe444ada,London    United Kingdom,,,,51.55747594,-0.177929624,,,
London,Hyde Park In London,f8eaec96-49de-4124-9c89-fd2e5132aca4,near 146 praed street w2  w2 1  London    United Kingdom,,,,51.51256928,-0.175235929,,,
London,Prince,6e0417fd-32ef-434f-afaa-aee0b641988f,59 Kynaston Road  London  N16 0EB  United Kingdom,,,,51.55826415,-0.081085609,,,
London,Restaurant RIVER CLUB,952d6a32-c777-417b-b53c-c05b16b68706,113 river road   Barking  IG11 0eg  United Kingdom,,,,51.51685748,0.099886926,,,
London,Plume of Feathers,be1834ab-201e-4e85-abbd-042cd2a869e9,282 Plumstead High St  London  SE18 1JT  United Kingdom,,,,51.48586558,0.099493985,,,
London,"The Royal Oak, Green Street Green",2d3cc6a2-02b2-4720-903a-0e626f65219b,,,,,51.35090208,0.08858622,,,
London,O Grady's Irish Bar,76c9fb42-0e5b-422f-a7a8-70c5a8228a32,699 High Road  Ilford  London    United Kingdom,,,,51.56490074,0.101212208,,,
London,McDonalds,9adad021-dd91-4bd6-904b-4dbf32cfc5ac,700 High Rd  London  IG3 8RS  United Kingdom,,,,51.56518166,0.103793184,,,
London,Cafe Diana,3e1d58fe-7fe6-46a7-b84f-26db21d67d57,London    United Kingdom,,,,51.50699486,0.107554503,,,
London,Food by Sharon,5863b954-0c8e-474a-b75e-eda994a6c438,106 McLeod Road  London  SE2 0BS  United Kingdom,,,,51.48736123,0.110058699,,,
London,Mems Cafe,50d4b303-5b33-423c-8402-12718f5eeacd,London    United Kingdom,,,,51.47882481,0.102213716,,,
London,Westfield Shopping Centre,66e302c8-a349-4a6f-98dc-0b4cf6aa0f4a,Ilford    United Kingdom,,,,51.56641167,0.110305718,,,
London,Bistro on the Green,5f49ea9a-0af5-47a2-a243-86e82e4fcc89,Crowlands Golf Centre  Wood Lane  Dagenham  RM8 1JX  United Kingdom,,,,51.55100736,0.120056908,,,
London,Ben's Cookies,ca1eeece-91eb-420e-929e-779eb3a0417a,35-36 Great Marlborough Street  London  W1F 7JF  United Kingdom,,,,51.51184189,0.126030062,,,
London,"The best place in the world ""my bed""!!!!",0e4bb3d5-391f-4663-9819-a1027f2a9edf,,,,,51.55177464,0.125509291,,,
London,In the Kitchen Cooking Dinner,b8a75131-db9b-4409-a1f8-d925c4f832a7,London    United Kingdom,,,,51.4952165,0.131555802,,,
London,Blue Anchor Pub & Restaurant,8b1531b5-fdf5-4b8b-9bac-26ea0c257d30,London    United Kingdom,,,,51.44542457,0.132530104,,,
London,McDonald's Restaurant,06980bd7-b92f-4443-9d67-0de791ad632a,Whalebone Lane North  London  RM6 6SB  United Kingdom,,,,51.58155619,0.141432852,,,
London,The Becontree Pub,536496db-2c0b-4688-96dc-0df3da06dab0,London    United Kingdom,,,,51.56128646,0.141791451,,,
London,Nando's,144e2fd0-81c6-479d-ac30-052a698a2efc,London    United Kingdom,,,,51.48807769,0.14475257,,,
London,White Cross Inn,733cb259-c54f-47cc-bd1c-6e1fc3b21f78,146 North Cray Rd  London  DA14 5EL  United Kingdom,,,,51.42190048,0.13336263,,,
London,Sungate Cafe,130d93ed-2791-426e-b847-6409f96e71da,London    United Kingdom,,,,51.5954342,0.146528156,,,
London,Dairy Crest Chadwell Heath,241a1eab-7c3f-49e9-8d4b-9da394212591,Selinas Lane Chadwell Heath  London    United Kingdom,,,,51.56675515,0.139532274,,,
London,My house,180cb299-8374-4c0c-b163-c3a0e009e557,109 turnage road  Dagenham  rm8 1qt  United Kingdom,,,,51.56560747,0.14907495,,,
London,Silvaspoon Dagenham,3e65d234-4067-4b79-bea6-0f01efe7a421,161 Broad Street  Dagenham  RM10 9HX  United Kingdom,,,,51.53480387,0.151136778,,,
London,Me 'An' O'Brien's - Dagenham,c29b3721-a3a5-4923-bd2a-f2eec5abbf41,26  Dagenham  RM9 6UR  United Kingdom,,,,51.53198709,0.146925873,,,
London,Flyingfishman,0953fabb-1727-4752-9a85-7c737974d8e7,99 parsonage manorway  Belvedere  da17 6lz  United Kingdom,,,,51.47756029,0.148530342,,,
London,Crazy Barn,6829e00a-42c3-4ceb-b22b-688080aa4788,London    United Kingdom,,,,51.4326316,0.139731158,,,
London,The Brickyard Resturant and Bar,d6f24a02-1654-4df5-89d8-074b48efc45d,,,,,51.59291876,0.159464652,,,
London,Burger King Romford Eastern Ave,e50c1c51-3f0c-4fee-bb58-da8034407998,Eastern Avenue Retail Park  London  RM7 7JJ  United Kingdom,,,,51.58307979,0.167555555,,,
London,ARAGON HOUSE,00723c9f-06ce-4bf8-8439-d68bce362ab7,247-249 new kings road parsons green fulham  London  sw6 4xg  United Kingdom,,,,51.47272472,-0.200279341,,,
London,The Cat's Back Pub | Wandsworth - Putney,562c9f81-f434-4a99-934d-eec43f1530cc,86-88 Point Pleasant  London  SW18 1NN  United Kingdom,,,,51.46183926,-0.199369323,,,
London,Egg Benedict Caffe,2f7315e8-a9ad-474d-af89-5bb411c95d5e,185 Kingston Road  London  SW19 1LH  United Kingdom,,,,51.4146166,-0.201475537,,,
London,Nando's West Hampstead,424228c8-565c-45dc-a8b6-6a709e62343d,London    United Kingdom,,,,51.55129694,-0.191797082,,,
London,Saltanah Shisha Cafe,220711a9-3ac5-48b0-b0e1-162b0761c6f2,London  NW6 5AE  United Kingdom,,,,51.5347192,-0.193911094,,,
London,Kilburn Park Station,67392890-5ba4-4423-82a2-a7bb45e1ea84,Cambridge Avenue  London  NW6 5AD  United Kingdom,,,,51.535076,-0.193570486,,,
London,Piano Bar Kensington High Street,dabfa168-5ae9-4a26-93d7-55ade428729e,106 Kensington High Street  Kensington   Kensington  W8 4SG  United Kingdom,,,,51.50116217,-0.192884853,,,
London,The Greedy Buddha Restaurant & Bar,d13bbe93-21d8-40b5-bb7a-71a043064dba,144 Wandsworth Bridge Road  London  SW6 2UH  United Kingdom,,,,51.47193416,-0.191490862,,,
London,"The Eden Plaza Hotel, Kensington",a7ce1c27-5dca-410f-8dbe-128545582e62, 68-69 Queensgate  Kensington and Chelsea  London  SW7 5JT  London    United Kingdom,,,,51.49518918,-0.179085669,,,
London,"The office, Oldfield Circus, Northolt",9305317a-3ea6-4715-9d75-46632782e0ed,17 Oldfield Circus  Northolt  UB5 4RR  United Kingdom,,,,51.55213275,-0.350531859,,,
London,The Railway Flaming Grill!,fe2f3a24-7d2a-409a-ab98-1f200882d0b1,390 Oldfield Lane North  Greenford    United Kingdom,,,,51.54314234,-0.345251853,,,
London,Spice Villa,e8361390-69c6-42b8-a14b-eb62bacbd55a,12 Westerham Avenue  London    United Kingdom,,,,51.62168148,-0.080858085,,,
London,Vestry Fish Bar,290f3156-e279-491e-9311-edf8ac68c051,35 Vestry Road  London  SE5 8PG  United Kingdom,,,,51.47106566,-0.082214262,,,
London,White Horse Pub,4ba36dce-1afa-4618-9f2a-f2eed0ed8104,London    United Kingdom,,,,51.52808332,0.056451337,,,
London,On the Moon,fb68978a-cfd0-4ef6-9a36-0c4bd646f235,Llanover Road  London    United Kingdom,,,,51.47776353,0.064557838,,,
London,"Denny,s",f5dc90e3-af56-49ff-9de2-1c1dd635daf4,London    United Kingdom,,,,51.40517856,0.058396364,,,
London,Harvester,580fec88-c967-4904-accb-35ab285c9d11,286 Southborough Lane  London  BR2 8AA  United Kingdom,,,,51.3904237,0.053947873,,,
London,Jonos Irish Bar Ilford,83bd540f-7c70-4e17-a640-abd091c94e7d,London    United Kingdom,,,,51.55966893,0.070022641,,,
London,TAJ Grill,ab2045e2-6f40-4f9c-913f-fa30f4ddef81,72 Ilford Lane   Ilford  IG1 2LA  United Kingdom,,,,51.55502797,0.07195443,,,
London,The Lounge Bar Chislehurst,33e0e602-a728-48d3-ae78-2d880cac1ef3,1-3 Whie Horse Hill  Chislehurst  BR7 6DG  United Kingdom,,,,51.42207017,0.061808265,,,
London,The Corner Cafe,c0512d1c-7129-47d2-a00c-2c934017066c,,,,,51.48611944,0.080077473,,,
London,"Shrewsbury House, Shooters Hill",4620c28f-14da-4f11-a46d-fba20b55962b,London  DA16 3RP  United Kingdom,,,,51.47346802,0.072843487,,,
London,Sunday Sessions At The Lounge Bar,b3791569-861b-4d85-9864-20f643fa5f1a,Chislehurst    United Kingdom,,,,51.4,0.0666667,,,
London,Nando's Gallions Reach,20d64fa0-0143-414a-876c-c741f422374e,London    United Kingdom,,,,51.51591579,0.077061284,,,
London,McDonald's Gallions Reach,c5af2e59-af6e-44ea-97a5-0b4e18e1ebaa,London    United Kingdom,,,,51.51594088,0.077501145,,,
London,The best place in the world...my bed..lol x,96035dd7-4879-480e-a2af-77205b79e567,London    United Kingdom,,,,51.48728373,0.082950772,,,
London,The Old Mill,e9fb3707-87c6-466f-b310-329609e7a258,London    United Kingdom,,,,51.48172613,0.083944508,,,
London,Macdonalds Newbury park,331b654c-b7f3-410d-952f-2b6e2323b83d,London    United Kingdom,,,,51.57383057,0.084367295,,,
London,Portvgalia - Cafe Snack Bar & Restaurant,723f0a15-244d-4d83-a1c1-e9d937a1dfc9,398 Ripple Road  Barking  IG11 9RS  United Kingdom,,,,51.53533113,0.094987327,,,
London,"The Green park, Falconwood",dce3520a-c881-41cc-b543-37297cb8c7f5,London    United Kingdom,,,,51.45694509,0.093254633,,,
London,La Cucina,b80ab3c0-54c2-4343-b8bc-9ecc0177963c,160 Halfway Street  London  DA15 8DG  United Kingdom,,,,51.44023924,0.088179813,,,
London,Frogpool Manor Restaurant,dc4994ad-abea-4b82-a29e-09cc4417b0c4,Perry Street  Chislehurst  BR7 6HA  United Kingdom,,,,51.41857655,0.095034971,,,
London,Ember Pub & Dining,a8d1648d-3bd1-4264-be44-4d3fbe84d4df,London    United Kingdom,,,,51.35229421,0.089669975,,,
London,"Rose and Crown, Green St Green",0c25df33-b98d-40cd-81dc-33094d3c1fae,,,,,51.35029698,0.087777372,,,
London,Megan's,774a90fb-8cd6-408c-8cd5-3f88edc1f4a2,Kings Road  London    United Kingdom,,,,51.48728988,-0.169275526,,,
London,No.8,0d6b02df-2fe8-41d7-a581-f2b4a68e5886,72 Wolsey Avenue  London  E6 6AJ  United Kingdom,,,,51.46306938,-0.170163238,,,
London,Cafê© Prazeres,92ac70b2-bb4e-483e-abcc-76772ad09d49,London    United Kingdom,,,,51.36308022,-0.171964426,,,
London,Al Fresco,34c47ec3-55ea-46e3-956a-5442387bb468,1327 High Road  London  N20 9HR  United Kingdom,,,,51.6318115,-0.175682587,,,
London,"The George, Belsize Park",893b0567-794d-4404-aad6-d5e5b3b11c8e,250 Haverstock Hill  London  NW3 2AE  United Kingdom,,,,51.55235984,-0.1673523,,,
